数值,数量,百分比,累计数量,累计百分比
20,1,0.01%,1,0.01%
20.3,1,0.01%,2,0.01%
20.4,1,0.01%,3,0.02%
20.5,1,0.01%,4,0.02%
20.7,1,0.01%,5,0.03%
20.9,2,0.01%,7,0.04%
21,1,0.01%,8,0.04%
21.1,1,0.01%,9,0.05%
21.3,1,0.01%,10,0.05%
21.4,2,0.01%,12,0.06%
21.5,2,0.01%,14,0.07%
21.7,1,0.01%,15,0.08%
21.8,3,0.02%,18,0.09%
21.9,1,0.01%,19,0.10%
22.1,2,0.01%,21,0.11%
22.2,1,0.01%,22,0.11%
22.3,1,0.01%,23,0.12%
22.5,2,0.01%,25,0.13%
22.6,2,0.01%,27,0.14%
22.7,3,0.02%,30,0.15%
22.8,5,0.03%,35,0.18%
22.9,3,0.02%,38,0.19%
23,3,0.02%,41,0.21%
23.1,4,0.02%,45,0.23%
23.2,3,0.02%,48,0.24%
23.3,3,0.02%,51,0.26%
23.5,4,0.02%,55,0.28%
23.6,1,0.01%,56,0.28%
23.7,3,0.02%,59,0.30%
23.8,5,0.03%,64,0.32%
23.9,5,0.03%,69,0.35%
24,5,0.03%,74,0.37%
24.1,8,0.04%,82,0.41%
24.2,3,0.02%,85,0.43%
24.3,2,0.01%,87,0.44%
24.4,2,0.01%,89,0.45%
24.5,3,0.02%,92,0.47%
24.6,7,0.04%,99,0.50%
24.7,6,0.03%,105,0.53%
24.8,5,0.03%,110,0.56%
24.9,12,0.06%,122,0.62%
25,4,0.02%,126,0.64%
25.1,5,0.03%,131,0.66%
25.2,3,0.02%,134,0.68%
25.3,11,0.06%,145,0.73%
25.4,7,0.04%,152,0.77%
25.5,6,0.03%,158,0.80%
25.6,8,0.04%,166,0.84%
25.7,11,0.06%,177,0.89%
25.8,11,0.06%,188,0.95%
25.9,16,0.08%,204,1.03%
26,21,0.11%,225,1.14%
26.1,7,0.04%,232,1.17%
26.2,8,0.04%,240,1.21%
26.3,7,0.04%,247,1.25%
26.4,11,0.06%,258,1.30%
26.5,11,0.06%,269,1.36%
26.6,22,0.11%,291,1.47%
26.7,18,0.09%,309,1.56%
26.8,24,0.12%,333,1.68%
26.9,20,0.10%,353,1.78%
27,31,0.16%,384,1.94%
27.1,14,0.07%,398,2.01%
27.2,13,0.07%,411,2.08%
27.3,28,0.14%,439,2.22%
27.4,15,0.08%,454,2.30%
27.5,19,0.10%,473,2.39%
27.6,22,0.11%,495,2.50%
27.7,30,0.15%,525,2.65%
27.8,30,0.15%,555,2.81%
27.9,40,0.20%,595,3.01%
28,40,0.20%,635,3.21%
28.1,41,0.21%,676,3.42%
28.2,26,0.13%,702,3.55%
28.3,34,0.17%,736,3.72%
28.4,46,0.23%,782,3.95%
28.5,50,0.25%,832,4.21%
28.6,36,0.18%,868,4.39%
28.7,61,0.31%,929,4.70%
28.8,67,0.34%,996,5.04%
28.9,68,0.34%,1064,5.38%
29,73,0.37%,1137,5.75%
29.1,66,0.33%,1203,6.08%
29.2,59,0.30%,1262,6.38%
29.3,77,0.39%,1339,6.77%
29.4,63,0.32%,1402,7.09%
29.5,84,0.42%,1486,7.51%
29.6,69,0.35%,1555,7.86%
29.7,78,0.39%,1633,8.26%
29.8,80,0.40%,1713,8.66%
29.9,91,0.46%,1804,9.12%
30,67,0.34%,1871,9.46%
30.1,86,0.43%,1957,9.90%
30.2,99,0.50%,2056,10.40%
30.3,118,0.60%,2174,10.99%
30.4,103,0.52%,2277,11.51%
30.5,98,0.50%,2375,12.01%
30.6,94,0.48%,2469,12.48%
30.7,1,0.01%,2470,12.49%
30.7,103,0.52%,2573,13.01%
30.8,129,0.65%,2702,13.66%
30.9,108,0.55%,2810,14.21%
31,121,0.61%,2931,14.82%
31.1,102,0.52%,3033,15.34%
31.2,1,0.01%,3034,15.34%
31.2,156,0.79%,3190,16.13%
31.3,126,0.64%,3316,16.77%
31.4,145,0.73%,3461,17.50%
31.5,148,0.75%,3609,18.25%
31.6,164,0.83%,3773,19.08%
31.7,159,0.80%,3932,19.88%
31.8,140,0.71%,4072,20.59%
31.9,121,0.61%,4193,21.20%
32,124,0.63%,4317,21.83%
32.0,1,0.01%,4318,21.83%
32.1,122,0.62%,4440,22.45%
32.1,1,0.01%,4441,22.46%
32.2,197,1.00%,4638,23.45%
32.3,176,0.89%,4814,24.34%
32.4,149,0.75%,4963,25.09%
32.4,1,0.01%,4964,25.10%
32.5,206,1.04%,5170,26.14%
32.5,1,0.01%,5171,26.15%
32.6,182,0.92%,5353,27.07%
32.6,1,0.01%,5354,27.07%
32.7,203,1.03%,5557,28.10%
32.8,153,0.77%,5710,28.87%
32.8,1,0.01%,5711,28.88%
32.9,184,0.93%,5895,29.81%
33,169,0.85%,6064,30.66%
33.1,203,1.03%,6267,31.69%
33.2,240,1.21%,6507,32.90%
33.3,238,1.20%,6745,34.11%
33.4,218,1.10%,6963,35.21%
